Therapeutic Area,N Diseases,Percentage,Definition,Examples
Cancer/Tumor,27,15.0%,"Malignant and benign neoplasms, including solid tumors and hematological malignancies","Lung adenocarcinoma, Colorectal cancer, Melanoma, Glioblastoma multiforme, Ovarian cancer"
Genetic/Congenital,20,11.1%,Inherited disorders and developmental abnormalities present from birth,"Cystic fibrosis, Duchenne muscular dystrophy, Down syndrome, Huntington's disease, Marfan syndrome"
Nervous System,18,10.0%,Neurological disorders affecting the central and peripheral nervous system,"Alzheimer's disease, Multiple sclerosis, Epilepsy syndrome, Amyotrophic lateral sclerosis, Parkinson's disease"
Immune System,13,7.2%,Autoimmune conditions and immune-mediated inflammatory diseases,"Rheumatoid arthritis, Psoriasis, Sjögren's syndrome, Ankylosing spondylitis, Psoriatic arthritis"
Gastrointestinal,11,6.1%,Disorders of the digestive system including inflammatory bowel conditions,"Ulcerative colitis, Crohn's disease, Barrett's esophagus, NASH, Gastroesophageal reflux disease"
Musculoskeletal,11,6.1%,"Diseases affecting bone, muscle, cartilage, and connective tissue","Osteoarthritis, Systemic lupus erythematosus, Scleroderma, Osteoporosis, Arthritis"
Cardiovascular,9,5.0%,"Heart and vascular diseases including cardiomyopathies and vascular disorders","Myocardial infarction, Hypertension, Atherosclerosis, Dilated cardiomyopathy, Pulmonary hypertension"
Infectious Disease,9,5.0%,"Bacterial, viral, fungal, and parasitic infections","Tuberculosis, Influenza, Hepatitis C, HIV infectious disease, Dengue disease"
Respiratory,8,4.4%,Lung and airway diseases including asthma and pulmonary fibrosis,"Asthma, Chronic obstructive pulmonary disease, Allergic asthma, Acute lung injury, Bronchopulmonary dysplasia"
Hematologic,7,3.9%,Blood disorders including anemias and coagulation abnormalities,"Sickle cell anemia, Aplastic anemia, Myelodysplastic syndrome, Chronic myeloid leukemia, Acute T cell leukemia"
Psychiatric,7,3.9%,"Mental health disorders including mood, anxiety, and psychotic conditions","Schizophrenia, Autism spectrum disorder, Alcohol abuse, Nicotine dependence, Bipolar disorder"
Reproductive/Breast,7,3.9%,Diseases of the reproductive system and breast tissue,"Breast cancer, Endometriosis, Prostate cancer, Endometrial cancer, Polycystic ovary syndrome"
Endocrine System,6,3.3%,Hormonal disorders affecting endocrine glands and metabolism,"Polycystic ovary syndrome, Papillary thyroid carcinoma, Adrenoleukodystrophy, Androgen insensitivity syndrome"
Phenotype,6,3.3%,General phenotypic conditions and syndrome complexes,"Ischemic stroke, Septic shock, Hypoxia, Dystonia, Intellectual disability"
Urinary System,5,2.8%,Kidney and urinary tract disorders including nephropathies,"Renal cell carcinoma, Cystitis, Nephroblastoma, Interstitial cystitis, Diabetic nephropathy"
Skin/Integumentary,5,2.8%,"Dermatological conditions affecting skin, hair, and nails","Atopic dermatitis, Eczema, Psoriasis vulgaris, Actinic keratosis, Urticaria"
Metabolic,5,2.8%,Metabolic disorders including lipid and glucose metabolism abnormalities,"Diabetes mellitus, Obesity, Morbid obesity, MELAS syndrome, Familial hypercholesterolemia"
Pancreas,3,1.7%,Pancreatic diseases including pancreatitis and exocrine disorders,"Type 1 diabetes mellitus, Type 2 diabetes mellitus, Pancreatic ductal adenocarcinoma"
Visual System,2,1.1%,Eye disorders including retinopathies and ocular inflammatory conditions,"Glaucoma, Primary open angle glaucoma"
Pregnancy/Perinatal,1,0.6%,Pregnancy-related conditions and perinatal complications,Pre-eclampsia
