Metric,CMAP,Tahoe
Cosine Similarity (Joint),0.5167859517327238,0.651141771659656
Cosine Similarity (Drug Marginal),0.8499683579088367,0.9868421574064765
Cosine Similarity (Disease Marginal),0.692853134278767,0.6616589155208379
Pearson Correlation (Joint),0.4702875520660017,0.6325568728022499
Spearman Correlation (Joint),0.47564056459379406,0.4512012132088177
Bhattacharyya Coefficient,0.6368114178575496,0.6870073877670393
Jensen-Shannon Divergence,0.5290442449526715,0.4965590728975809
KL Divergence,1.8615212913436263,1.420941184883265
Total Variation Distance,0.5753063095016523,0.5485785824744265
Hellinger Distance,0.602651293985544,0.559457426649214
95% CI Lower,0.4309418129555369,0.5926080502867758
95% CI Upper,0.5073220594552483,0.6582090542302504
