drug_id,drug_common_name,drug_target_class,drug_synonyms,drug_type,drug_mechanism_of_action,match_type,matched_name_in_tahoe
CHEMBL628,PENTOXIFYLLINE,Enzyme,BL 191|BL-191|C04AD03|NSC-637086|NSC-758481|Oxpentifylline|Oxypentifylline|Pentoxifilina|Pentoxifylline|Pentoxiphyllin,Small molecule,"3',5'-cyclic phosphodiesterase inhibitor",drug_common_name,pentoxifylline
CHEMBL3137309,VENETOCLAX,Ion channel,ABT-199|GDC-0199|RG-7601|RG7601|Venetoclax,Small molecule,Apoptosis regulator Bcl-2 inhibitor,drug_common_name,venetoclax
CHEMBL325041,BORTEZOMIB,Enzyme|Other cytosolic protein,Bortezomib|Bortezomib accord|Bortezomib hydrate|LDP-341|NSC-681239|PS-341|Velcade,Small molecule,26S proteosome inhibitor,drug_common_name,bortezomib
CHEMBL34259,METHOTREXATE,Enzyme,"(r)-methotrexate|ADX-2191|Abitrexate|Amethopterin|CL 14377|CL-14377|D-amethopterin|D-methotrexate|EMT-25299|Folex|Jylamvo|Methotrexate|Methotrexate, (r)-|Methotrexate, d-|Methotrexatum|Methylaminopterin|Metotrexato|Mexate|Mexate-AQ|NSC-740|R-9985|R-methotrexate|TCMDC-123832|TCMDC-125488|TCMDC-125858|Trexall",Small molecule,Dihydrofolate reductase inhibitor,drug_common_name,methotrexate
CHEMBL384467,DEXAMETHASONE,Transcription factor,Decadron-LA|Dexacen-4|Dexacort|Dexair|Dexametasona|Dexamethasone|Dexamethasone metasulfobenzoate sodium|Dexamethasone palmitate|Dexamethasone valerate|Dexycu|Fluormethylprednisolone|ISV-305|Mymethasone|NSC-34521|Neodecadron|OTO-104,Small molecule,Glucocorticoid receptor agonist,drug_common_name,dexamethasone
CHEMBL803,CYTARABINE,Enzyme,"Ara-c|Ara-cytidine|Arabinocytosine|Arabinosyl cytosine|Aracytidine|Aracytin|Aracytine|Citarabina|Cytarabine|Cytarabine liposome|Cytarabinoside|Cytarabinum|NSC-287459|Spongocytidine|U 19920a|U-19,920|U-19920",Small molecule,DNA polymerase (alpha/delta/epsilon) inhibitor,drug_common_name,cytarabine
CHEMBL90555,VINCRISTINE,Structural protein,"22-oxovincaleukoblastine|Leucristine|Leurocristine|Oncotcs|Tecnocris|Vincaleukoblastine, 22-oxo-|Vincristin|Vincristina|Vincristine|Vinkristin",Small molecule,Tubulin inhibitor,drug_common_name,vincristine
CHEMBL1201265,METHYLPREDNISOLONE HEMISUCCINATE,Transcription factor,Methylprednisolone hemisuccinate|Methylprednisolone succinate,Small molecule,Glucocorticoid receptor agonist,drug_synonym,methylprednisolone succinate
CHEMBL1467,ALLOPURINOL,Enzyme,Allopurinol|Allopurinolum|Alopurinol|BW 56-158|BW-56-158|NSC-101655|NSC-1390|Suspendol|Takanarumin,Small molecule,Xanthine dehydrogenase inhibitor,drug_common_name,allopurinol
CHEMBL160,CYCLOSPORINE,Enzyme,"27-400|ANTIBIOTIC S-7481F1|Atopica|Ciclosporin|Ciclosporin a|Ciclosporina|Ciclosporine|Ciclosporinum|Cyclosporin|Cyclosporin a|Cyclosporine|Cyclosporine a|Cyclosporine microemulsion|Cyclosporine, modified|Equoral|Mitogard|NSC-290193|Neoplanta|Neurostat|OL-27-400|Ramihyphin a|SANG-35|SDZ-OXL-400|Vevye|Zinograf me",Protein,Cyclophilin A modulator,drug_synonym,cyclosporin a
CHEMBL1750,CLOFARABINE,Enzyme,Clofarabina|Clofarabine|Clolar|NSC-759857,Small molecule,DNA polymerase (alpha/delta/epsilon) inhibitor,drug_common_name,clofarabine
CHEMBL2103840,DINACICLIB,Enzyme|Unclassified protein|Other cytosolic protein,Dinaciclib|Mk-7965|SCH 727965|SCH-727965|SCH727965,Small molecule,Cyclin-dependent kinase 2 inhibitor,drug_common_name,dinaciclib
CHEMBL3544932,TAK-901,Enzyme,Tak-901,Small molecule,Serine/threonine-protein kinase Aurora-B inhibitor,drug_common_name,tak-901
CHEMBL4071161,TIRABRUTINIB,Enzyme|Unclassified protein,GS-4059|Gs-4059|ONO-4059|ONO-4059(FREE BASE)|Ono-4059|Tirabrutinib,Small molecule,Tyrosine-protein kinase BTK inhibitor,drug_common_name,tirabrutinib
CHEMBL413,SIROLIMUS,Enzyme|Ion channel,AY-22989|Fyarro|Hyftor|L04AA10|NSC-226080|Npc-12g|Rapalimus|Rapamycin|SM-88 COMPONENT SIROLIMUS|Sirolimus|WY-090217,Small molecule,FK506-binding protein 1A inhibitor,drug_synonym,rapamycin
CHEMBL428647,PACLITAXEL,Structural protein,(-)-paclitaxel|ABI-007|ABI-007 COMPONENT PACLITAXEL|BMS 181339-01|BMS-181339-01|Capxol|Cyclopax|DHP 107|DHP-107|Ebetaxel|Empac|Endotag 1|Genaxol|Genetaxyl|Genexol|Genexol-pm|Intaxel|Lep-etu|MBT 0206|MBT-0206|Mitotax|NK 105|NK-105|NSC-125973|Oncogel|Onxal|Onxol|Pacliex|Paclitaxel|Paclitaxel (taxus canadensis)|Paclitaxol|Plaxicel|QW-8184|Taxalbin|Taxol|Taxol a|Taxus|Taxus liberte|Taxus stent|Tocosol paclitaxel|Yewtaxan,Small molecule,Tubulin inhibitor,drug_common_name,paclitaxel
CHEMBL445813,AT-7519,Enzyme,AT 7519|AT-7519|AT7519|At-7519|Cdki at7519,Small molecule,Cyclin-dependent kinase inhibitor,drug_synonym,at7519
CHEMBL477,ADENOSINE,Membrane receptor,9-.beta.-d-ribofuranosyladenine|Adenosine|NSC-7652|SR 96225|SR-96225,Small molecule,Adenosine receptor agonist,drug_common_name,adenosine
CHEMBL481,IRINOTECAN,Enzyme,Biotecan|Irinotecan|NSC-728073,Small molecule,DNA topoisomerase I inhibitor,drug_common_name,irinotecan
CHEMBL521686,OLAPARIB,Enzyme|Unclassified protein,AZ-2281|AZ2281|AZD-2281|AZD2281|KEYLYNK-010 COMPONENT OLAPARIB|KU-0059436|KU-59436|NSC-747856|OLAPARIB COMPONENT OF KEYLYNK-010|Olaparib,Small molecule,"PARP 1, 2 and 3 inhibitor",drug_common_name,olaparib
CHEMBL535,SUNITINIB,Enzyme,NSC-736511|NSC-750690|SU-011248|SU-11248|SU011248|Sunitinib|Sutent,Small molecule,Platelet-derived growth factor receptor inhibitor,drug_common_name,sunitinib
CHEMBL1201129,DECITABINE,Epigenetic regulator,2'-deoxy-5-azacytidine|DAC|Decitabina|Decitabine|NSC-127716,Small molecule,DNA (cytosine-5)-methyltransferase 1 inhibitor,drug_common_name,decitabine
CHEMBL2325741,CAPIVASERTIB,Enzyme|Unclassified protein,AZC5363|AZD-5363|AZD5363|Azd 5363|Azd-5363|Capivasertib,Small molecule,Serine/threonine-protein kinase AKT inhibitor,drug_common_name,capivasertib
CHEMBL3545185,SELINEXOR,Unclassified protein,KPT-330|Selinexor,Small molecule,Exportin-1 inhibitor,drug_common_name,selinexor
CHEMBL657,DIPHENHYDRAMINE,Membrane receptor,Difenhidramina|Diphenhdyra|Diphenhydramine|Restamin,Small molecule,Histamine H1 receptor antagonist,drug_common_name,diphenhydramine
CHEMBL888,GEMCITABINE,Enzyme,Gemcitabina|Gemcitabine|Gemzar|LY-188011|LY188011|NSC-613327,Small molecule,DNA polymerase (alpha/delta/epsilon) inhibitor,drug_common_name,gemcitabine
CHEMBL189963,PALBOCICLIB,Other nuclear protein|Enzyme|Other cytosolic protein,PD-0332991|Palbociclib,Small molecule,CDK6/cyclin D1 inhibitor,drug_common_name,palbociclib
CHEMBL3301610,ABEMACICLIB,Other nuclear protein|Enzyme|Other cytosolic protein,Abemaciclib|LY-2835219|LY2835219|Ly-2835219,Small molecule,Cyclin-dependent kinase 6 inhibitor,drug_common_name,abemaciclib
CHEMBL3545252,DOCETAXEL,Structural protein,Docetaxel|Docetaxel (as trihydrate)|Docetaxel hydrate|Docetaxel trihydrate|RP 56976|RP-56976|XRP6976,Small molecule,Tubulin inhibitor,drug_common_name,docetaxel
CHEMBL185,FLUOROURACIL,Enzyme,5 FU|5-FU|5-Fluorouracil|5-fluoruracil|Fluorouracil|Fluorouracilo|Fluorouracilum|Fluorouricil|Fluracil|NSC-19893|Phthoruracil|Queroplex|RO 2-9757|RO-2-9757|RO-29757,Small molecule,Thymidylate synthase inhibitor,drug_synonym,5-fluorouracil
CHEMBL225072,PEMETREXED,Enzyme,LY-2315|LY-231514|LY231514|NSC-698037|Pemetrexed,Small molecule,GAR transformylase inhibitor,drug_common_name,pemetrexed
