drug_id,drug_common_name,drug_target_class,drug_synonyms,drug_type,drug_mechanism_of_action
CHEMBL265502,SURAMIN,Secreted protein,FARMA-939|Farma|Fourneau|Metaret|NSC-34936|Naganol|Suramin|Suramine,Small molecule,Acidic fibroblast growth factor inhibitor
CHEMBL413376,SURAMIN HEXASODIUM,Secreted protein,BAY-205|BAYER-205|CI-1003|FOURNEAU 309|FOURNEAU-309|NF-060|NSC-758165|Nagananinum|Naphuride|Suramin hexasodium|Suramin sodium|Suramina de sodio|Suramine sodique|Suraminum natricum,Small molecule,Acidic fibroblast growth factor inhibitor
CHEMBL52440,DEXTROMETHORPHAN,Membrane receptor,Dextromethorphan|Dextromethorphane|Dextrometorfano|Dimetane-DX|NSC-751452,Small molecule,Sigma opioid receptor agonist
CHEMBL655,MIDAZOLAM,Ion channel,Midazolam|Midazolam civ|USL-261|USL261,Small molecule,GABA-A receptor; anion channel positive allosteric modulator
CHEMBL830,EFLORNITHINE,Enzyme,Eflornithine|Eflornitina|Ornidyl|Vaniqa,Small molecule,Ornithine decarboxylase inhibitor
CHEMBL1201834,CANAKINUMAB,Secreted protein,ACZ-885|ACZ885|Canakinumab,Antibody,Interleukin-1 beta inhibitor
CHEMBL1535,HYDROXYCHLOROQUINE,Membrane receptor,Hidroxicloroquina|Hydroxychloroquine|Polirreumin,Small molecule,Toll-like receptor 7 antagonist
CHEMBL2109513,PD-360324,Secreted protein,PD-360324|Pd-360324,Antibody,Macrophage colony-stimulating factor 1 inhibitor
CHEMBL3,NICOTINE,Ion channel,Nicotine,Small molecule,Neuronal acetylcholine receptor; alpha4/beta2 agonist
CHEMBL628,PENTOXIFYLLINE,Enzyme,BL 191|BL-191|C04AD03|NSC-637086|NSC-758481|Oxpentifylline|Oxypentifylline|Pentoxifilina|Pentoxifylline|Pentoxiphyllin,Small molecule,"3',5'-cyclic phosphodiesterase inhibitor"
CHEMBL866,MYCOPHENOLIC ACID,Enzyme,"68618|Acide mycophenolique|Acido micofenolico|Mycophenolate|Mycophenolate mofetil impurity, mycophenolic acid-|Mycophenolic acid|NSC-129185|RS-61443 [AS MOFETIL]",Small molecule,Inosine-5'-monophosphate dehydrogenase (IMPDH) inhibitor
