disease,signature_type,exp_id,cmap_score,p,q,subset_comparison_id,analysis_id,name,concentration,duration,cell_line,array_platform,vehicle,vendor,vendor_catalog_id,vendor_catalog_name,drug_concept_id,cas_number,DrugBank.ID,valid
Acute_lung_injury,CMAP,,,,,,,,,,,,,,,,,,,
Acute_lung_injury,TAHOE,,,,,,,,,,,,,,,,,,,
Alzheimer's_disease,CMAP,210,-0.136179992186041,0.34112,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,"1,5-isoquinolinediol",0.0001,6,HL60,HG-U133A,DMSO,Sigma-Aldrich,I138,"1,5-Isoquinolinediol",,,,
Alzheimer's_disease,CMAP,425,0.137654190443503,0.33248,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,15-delta prostaglandin J2,1e-05,6,MCF7,HT_HG-U133A_EA,DMSO,Calbiochem,538927,15d-PGJ2,,,,
Alzheimer's_disease,CMAP,82,-0.114050420548297,0.45191,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,2-deoxy-D-glucose,0.01,6,MCF7,HG-U133A,medium,Sigma-Aldrich,D3179,2-deoxy-D-glucose,,,DB08831,
Alzheimer's_disease,CMAP,217,-0.154053012746506,0.23192,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,"4,5-dianilinophthalimide",1e-05,6,PC3,HG-U133A,DMSO,Sigma-Aldrich,D-210,DAPH,,,,
Alzheimer's_disease,CMAP,317,-0.10682088582934,0.47374,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,5140203,1.5e-05,6,MCF7,HT_HG-U133A_EA,DMSO,Chembridge,5140203,5140203,,,,
Alzheimer's_disease,CMAP,309,0.113143671343906,0.4551,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,5152487,1e-05,6,MCF7,HT_HG-U133A_EA,DMSO,Chembridge,5152487,5152487,,,,
Alzheimer's_disease,CMAP,303,-0.0857574254881117,0.49905,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,5186223,1.2e-05,6,MCF7,HT_HG-U133A_EA,DMSO,Chembridge,5186223,5186223,,,,
Alzheimer's_disease,CMAP,278,-0.15676827846272,0.21678,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,5211181,1.2e-05,6,MCF7,HT_HG-U133A_EA,DMSO,Chembridge,5211181,5211181,,,,
Alzheimer's_disease,CMAP,283,0.118225598199812,0.43581,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,5224221,1.2e-05,6,MCF7,HT_HG-U133A_EA,DMSO,Chembridge,5224221,5224221,,,,
Alzheimer's_disease,CMAP,349,-0.149254405638007,0.26031,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,5230742,1.7e-05,6,MCF7,HT_HG-U133A_EA,DMSO,Chembridge,5230742,5230742,,,,
Alzheimer's_disease,CMAP,341,0.137004642659081,0.3364,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,5248896,1.1e-05,6,MCF7,HT_HG-U133A_EA,DMSO,Chembridge,5248896,5248896,,,,
Alzheimer's_disease,CMAP,333,-0.137150059102881,0.33559,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,5252917,1.4e-05,6,MCF7,HT_HG-U133A_EA,DMSO,Chembridge,5252917,5252917,,,,
Alzheimer's_disease,CMAP,287,0.104718437396955,0.47866,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,5253409,1.7e-05,6,MCF7,HT_HG-U133A_EA,DMSO,Chembridge,5253409,5253409,,,,
Alzheimer's_disease,CMAP,345,0.128509973523269,0.38504,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,5279552,2.2e-05,6,MCF7,HT_HG-U133A_EA,DMSO,Chembridge,5279552,5279552,,,,
Alzheimer's_disease,CMAP,220,0.100454699200681,0.48663,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,HNMPA-(AM)3,5e-06,6,PC3,HG-U133A,DMSO,Calbiochem,397100,HNMPA-(AM)3,,,,
Alzheimer's_disease,CMAP,30,-0.114553423635784,0.44994,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,LM-1685,1e-05,6,MCF7,HG-U133A,DMSO,Calbiochem,236011,cox-2 inhibitor I,,,,
Alzheimer's_disease,CMAP,114,-0.13694141652562,0.33683,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,LY-294002,1e-05,6,ssMCF7,HG-U133A,DMSO,Calbiochem,440202,LY294002,,,,
Alzheimer's_disease,CMAP,229,0.112874806423998,0.45591,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,MK-886,1e-06,6,MCF7,HG-U133A,ethanol,Calbiochem,475889,MK-886,,,,
