Disease Name,All Known Drug-Disease Pairs [U],Known Drugs CMAP [P_cmap],DRpipe Predictions CMAP [I_cmap],Successfully Recovered CMAP [S_cmap],Recovery Rate CMAP [S/P_cmap],Known Drugs TAHOE [P_tahoe],DRpipe Predictions TAHOE [I_tahoe],Successfully Recovered TAHOE [S_tahoe],Recovery Rate TAHOE [S/P_tahoe],Total Known Drugs [P],Total DRpipe Predictions [I],Total Successfully Recovered [S],Overall Recovery Rate [S/P]
inclusion body myositis,69,1,7,0,0.0%,1,357,1,100.0%,2,364,1,1.45%
discoid lupus erythematosus,84,1,6,0,0.0%,2,357,2,100.0%,3,363,2,2.38%
psoriatic arthritis,630,9,5,0,0.0%,6,365,6,100.0%,15,370,6,0.95%
childhood type dermatomyositis,160,4,7,0,0.0%,2,370,2,100.0%,6,377,2,1.25%
Sjogren's syndrome,304,6,701,4,66.7%,4,315,4,100.0%,10,1016,8,2.63%
Psoriasis vulgaris,658,6,237,1,16.7%,7,312,7,100.0%,13,549,7,1.06%
autoimmune thrombocytopenic purpura,605,16,28,2,12.5%,11,379,11,100.0%,27,407,13,2.15%
colitis,202,5,18,0,0.0%,1,305,1,100.0%,6,323,1,0.5%
scleroderma,224,4,300,2,50.0%,1,230,1,100.0%,5,530,3,1.34%
psoriasis,1473,24,58,1,4.2%,15,332,14,93.3%,39,390,15,1.02%
inflammatory bowel disease,538,11,109,1,9.1%,7,345,6,85.7%,18,454,6,1.12%
ankylosing spondylitis,634,12,7,0,0.0%,9,272,7,77.8%,21,279,7,1.1%
Crohn's disease,1283,27,102,2,7.4%,12,332,9,75.0%,39,434,11,0.86%
relapsing-remitting multiple sclerosis,816,19,679,6,31.6%,9,248,6,66.7%,28,927,12,1.47%
rheumatoid arthritis,2397,45,164,8,17.8%,25,272,16,64.0%,70,436,22,0.92%
systemic lupus erythematosus,1071,20,268,8,40.0%,15,267,9,60.0%,35,535,16,1.49%
ulcerative colitis,1192,24,68,3,12.5%,10,207,5,50.0%,34,275,8,0.67%
multiple sclerosis,1885,43,247,12,27.9%,16,141,7,43.8%,59,388,18,0.95%
type 1 diabetes mellitus,1788,31,201,8,25.8%,12,178,2,16.7%,43,379,10,0.56%
arthritis,435,6,72,2,33.3%,2,81,0,0.0%,8,153,2,0.46%
